client_reference|client_prenom|client_nom|client_age|client_ville|client_profession|client_email|client_telephone|articles|statut_signature
CLI-27|Thomas|Caron|31|Valence|Consultant|thomas.caron27@mail.fr|06 83 83 70 41|[{"reference": "VEH-027", "qte_initial": "3"}]|non_signe
CLI-28|Celine|Bertrand|30|Strasbourg|Enseignant|celine.bertrand28@mail.fr|06 94 65 55 64|[{"reference": "VEH-028", "qte_initial": "3"}]|non_signe
CLI-29|Laura|Perez|73|Toulouse|Designer|laura.perez29@mail.fr|06 93 92 22 17|[{"reference": "VEH-029", "qte_initial": "3"}]|non_signe
CLI-30|Noemie|Thomas|69|Strasbourg|Avocat|noemie.thomas30@mail.fr|06 34 34 78 67|[{"reference": "VEH-030", "qte_initial": "3"}]|non_signe
CLI-31|Patricia|Morin|29|Angers|Veterinaire|patricia.morin31@mail.fr|06 41 19 66 80|[{"reference": "VEH-031", "qte_initial": "2"}]|non_signe
CLI-32|Hugo|Morel|59|Valence|Comptable|hugo.morel32@mail.fr|06 21 40 31 62|[{"reference": "VEH-032", "qte_initial": "1"}]|non_signe
CLI-33|Jerome|Lopez|31|Amiens|Cadre|jerome.lopez33@mail.fr|06 31 58 10 59|[{"reference": "VEH-033", "qte_initial": "2"}]|non_signe
CLI-34|Sophie|Perez|36|Annecy|Electricien|sophie.perez34@mail.fr|06 81 94 72 29|[{"reference": "VEH-034", "qte_initial": "3"}]|non_signe
CLI-35|Lea|Michel|31|Toulouse|Artisan|lea.michel35@mail.fr|06 79 17 50 17|[{"reference": "VEH-035", "qte_initial": "2"}]|non_signe
CLI-36|Mathieu|Masson|48|Caen|Architecte|mathieu.masson36@mail.fr|06 30 17 75 20|[{"reference": "VEH-036", "qte_initial": "1"}]|non_signe
CLI-37|Francois|Martinez|56|Nice|Designer|francois.martinez37@mail.fr|06 40 61 25 82|[{"reference": "VEH-037", "qte_initial": "1"}]|non_signe
CLI-38|Nicolas|Masson|56|Marseille|Employe|nicolas.masson38@mail.fr|06 20 63 94 84|[{"reference": "VEH-038", "qte_initial": "3"}]|non_signe
CLI-39|Valerie|Guillot|38|Dijon|Technicien|valerie.guillot39@mail.fr|06 95 50 40 43|[{"reference": "VEH-039", "qte_initial": "2"}]|non_signe
CLI-40|Noemie|Lambert|60|Villeurbanne|Veterinaire|noemie.lambert40@mail.fr|06 50 19 11 68|[{"reference": "VEH-040", "qte_initial": "2"}]|non_signe
CLI-41|Maxime|Henry|24|Nice|Pharmacien|maxime.henry41@mail.fr|06 37 74 43 26|[{"reference": "VEH-041", "qte_initial": "2"}]|non_signe
CLI-42|Florian|Martinez|74|Grenoble|Commercant|florian.martinez42@mail.fr|06 46 30 66 79|[{"reference": "VEH-042", "qte_initial": "1"}]|non_signe
CLI-43|Elodie|Garcia|57|Mulhouse|Comptable|elodie.garcia43@mail.fr|06 95 80 48 94|[{"reference": "VEH-043", "qte_initial": "1"}]|non_signe
CLI-44|Hugo|Lambert|34|Montpellier|Enseignant|hugo.lambert44@mail.fr|06 80 29 44 46|[{"reference": "VEH-044", "qte_initial": "2"}]|non_signe
CLI-45|Caroline|Richard|63|Le Mans|Technicien|caroline.richard45@mail.fr|06 97 91 43 74|[{"reference": "VEH-045", "qte_initial": "1"}]|non_signe
CLI-46|Jerome|Leroy|75|Toulouse|Medecin|jerome.leroy46@mail.fr|06 91 64 45 15|[{"reference": "VEH-046", "qte_initial": "1"}]|non_signe
CLI-47|David|Thomas|67|Bordeaux|Chef de projet|david.thomas47@mail.fr|06 43 30 66 80|[{"reference": "VEH-047", "qte_initial": "2"}]|non_signe
CLI-48|Elodie|Morin|53|Paris|Enseignant|elodie.morin48@mail.fr|06 19 98 29 79|[{"reference": "VEH-048", "qte_initial": "1"}]|non_signe
CLI-49|Julie|Fontaine|55|Hyeres|Consultant|julie.fontaine49@mail.fr|06 65 26 15 49|[{"reference": "VEH-049", "qte_initial": "2"}]|non_signe
CLI-50|Loic|Fournier|75|Aix-en-Provence|Technicien|loic.fournier50@mail.fr|06 97 41 95 23|[{"reference": "VEH-050", "qte_initial": "2"}]|non_signe
